split,block,reject_rate,mean_stat,median_p,n,regime
test,A2_outcome_clarity,0.25,3.811584354513375,0.2764427786036306,20,regime1_uniform_prior_alpha_equal
test,A2_outcome_disc,0.15,3.3026330236183,0.3012713535097335,20,regime1_uniform_prior_alpha_equal
test,A2_outcome_full,1.0,68.93342481406857,2.8352320491364935e-12,20,regime1_uniform_prior_alpha_equal
test,A2_outcome_len,1.0,28.755419770281026,4.605131087298542e-06,20,regime1_uniform_prior_alpha_equal
test,A5_outcome_base,0.95,13.663003704117154,0.0012773376422958171,20,regime1_uniform_prior_alpha_equal
test,A5_outcome|A2_outcome_full,0.8,8.451421682262794,0.021306815965987158,20,regime1_uniform_prior_alpha_equal
train,A2_outcome_clarity,0.9,15.572883166050072,0.0007432412755273288,20,regime1_uniform_prior_alpha_equal
train,A2_outcome_disc,0.85,12.205578901802552,0.00471424293024858,20,regime1_uniform_prior_alpha_equal
train,A2_outcome_full,1.0,259.70643781045527,0.0,20,regime1_uniform_prior_alpha_equal
train,A2_outcome_len,1.0,101.4685721545415,0.0,20,regime1_uniform_prior_alpha_equal
train,A5_outcome_base,1.0,48.10106726348233,5.131678415537522e-11,20,regime1_uniform_prior_alpha_equal
train,A5_outcome|A2_outcome_full,1.0,36.96333457468329,1.9593941802398263e-08,20,regime1_uniform_prior_alpha_equal
test,A2_outcome_clarity,0.2,3.802897432657094,0.3481751145336964,20,regime2_prior_shift_alpha_equal
test,A2_outcome_disc,0.0,2.8506045802584774,0.26667902522828624,20,regime2_prior_shift_alpha_equal
test,A2_outcome_full,1.0,49.34787348464326,8.069491630458003e-09,20,regime2_prior_shift_alpha_equal
test,A2_outcome_len,0.95,16.71209793785337,0.0007455996663763287,20,regime2_prior_shift_alpha_equal
test,A5_outcome_base,0.2,3.6818761757095593,0.28123092386030846,20,regime2_prior_shift_alpha_equal
test,A5_outcome|A2_outcome_full,0.7,9.248188523072422,0.007539578960086668,20,regime2_prior_shift_alpha_equal
train,A2_outcome_clarity,0.85,14.556723847714782,0.0007881357386077537,20,regime2_prior_shift_alpha_equal
train,A2_outcome_disc,0.5,9.36451360694803,0.03577018956986899,20,regime2_prior_shift_alpha_equal
train,A2_outcome_full,1.0,187.45636522755132,0.0,20,regime2_prior_shift_alpha_equal
train,A2_outcome_len,1.0,59.70886789452688,4.773403894375861e-13,20,regime2_prior_shift_alpha_equal
train,A5_outcome_base,0.8,11.38862616399537,0.005285152012311611,20,regime2_prior_shift_alpha_equal
train,A5_outcome|A2_outcome_full,1.0,42.13459941981808,2.4752863647670154e-09,20,regime2_prior_shift_alpha_equal
test,A2_outcome_clarity,0.25,3.550576430440747,0.2626668770233509,20,regime3_prior_shift_alpha_hetero
test,A2_outcome_disc,0.15,4.00576633096332,0.20731061105167364,20,regime3_prior_shift_alpha_hetero
test,A2_outcome_full,1.0,41.6588738842802,3.15712125886769e-08,20,regime3_prior_shift_alpha_hetero
test,A2_outcome_len,0.85,12.792155700822722,0.003914138659869892,20,regime3_prior_shift_alpha_hetero
test,A5_outcome_base,0.85,11.698851836642314,0.004112707259325499,20,regime3_prior_shift_alpha_hetero
test,A5_outcome|A2_outcome_full,0.0,2.2053656535051873,0.3845934292160436,20,regime3_prior_shift_alpha_hetero
train,A2_outcome_clarity,0.85,14.454190785227814,0.0005657292761848676,20,regime3_prior_shift_alpha_hetero
train,A2_outcome_disc,0.9,12.905976958655728,0.0036182768171255097,20,regime3_prior_shift_alpha_hetero
train,A2_outcome_full,1.0,173.96138032837334,0.0,20,regime3_prior_shift_alpha_hetero
train,A2_outcome_len,1.0,48.23565452546303,1.8739843010706636e-11,20,regime3_prior_shift_alpha_hetero
train,A5_outcome_base,1.0,41.045867293263676,9.036497661263354e-10,20,regime3_prior_shift_alpha_hetero
train,A5_outcome|A2_outcome_full,0.85,13.04071567038442,0.0014630647608473435,20,regime3_prior_shift_alpha_hetero
test,A2_outcome_clarity,0.05,1.7545224119905705,0.6062556668205634,20,regime4_uniform_prior_alpha_equal_len_cost_only
test,A2_outcome_disc,0.1,1.869370648166095,0.6630913399074825,20,regime4_uniform_prior_alpha_equal_len_cost_only
test,A2_outcome_full,0.0,7.478530193938977,0.22277743694172986,20,regime4_uniform_prior_alpha_equal_len_cost_only
test,A2_outcome_len,0.05,1.8310631174521,0.43477279088398396,20,regime4_uniform_prior_alpha_equal_len_cost_only
test,A5_outcome_base,0.05,1.8443277730734835,0.5333712779563158,20,regime4_uniform_prior_alpha_equal_len_cost_only
test,A5_outcome|A2_outcome_full,0.05,1.9425958106370764,0.43259680539042583,20,regime4_uniform_prior_alpha_equal_len_cost_only
train,A2_outcome_clarity,0.4,5.6878538013059385,0.13532286399928256,20,regime4_uniform_prior_alpha_equal_len_cost_only
train,A2_outcome_disc,0.25,5.28384344661651,0.14653407063407087,20,regime4_uniform_prior_alpha_equal_len_cost_only
train,A2_outcome_full,0.7,15.790783819370873,0.010062106318992625,20,regime4_uniform_prior_alpha_equal_len_cost_only
train,A2_outcome_len,0.05,1.9413635747066469,0.46664549598694816,20,regime4_uniform_prior_alpha_equal_len_cost_only
train,A5_outcome_base,0.2,3.839627036904006,0.23660309040571015,20,regime4_uniform_prior_alpha_equal_len_cost_only
train,A5_outcome|A2_outcome_full,0.05,2.5324040109600925,0.37323480764513434,20,regime4_uniform_prior_alpha_equal_len_cost_only
