violation,proto_noise_mult_far,split,block,reject_rate,mean_stat,median_p,n
candidate_set_quality,1.0,test,A2_outcome_clarity,0.05,1.7545224119905705,0.6062556668205634,20
candidate_set_quality,1.0,test,A2_outcome_disc,0.1,1.869370648166095,0.6630913399074825,20
candidate_set_quality,1.0,test,A2_outcome_full,0.0,7.478530193938977,0.22277743694172986,20
candidate_set_quality,1.0,test,A2_outcome_len,0.05,1.8310631174521,0.43477279088398396,20
candidate_set_quality,1.0,test,A5_outcome_base,0.05,1.8443277730734835,0.5333712779563158,20
candidate_set_quality,1.0,test,A5_outcome|A2_outcome_full,0.05,1.9425958106370764,0.43259680539042583,20
candidate_set_quality,1.0,train,A2_outcome_clarity,0.4,5.6878538013059385,0.13532286399928256,20
candidate_set_quality,1.0,train,A2_outcome_disc,0.25,5.28384344661651,0.14653407063407087,20
candidate_set_quality,1.0,train,A2_outcome_full,0.7,15.790783819370873,0.010062106318992625,20
candidate_set_quality,1.0,train,A2_outcome_len,0.05,1.9413635747066469,0.46664549598694816,20
candidate_set_quality,1.0,train,A5_outcome_base,0.2,3.839627036904006,0.23660309040571015,20
candidate_set_quality,1.0,train,A5_outcome|A2_outcome_full,0.05,2.5324040109600925,0.37323480764513434,20
candidate_set_quality,0.8,test,A2_outcome_clarity,0.05,1.7720826717589582,0.5494377769844481,20
candidate_set_quality,0.8,test,A2_outcome_disc,0.05,2.1046104273315147,0.46059735263755297,20
candidate_set_quality,0.8,test,A2_outcome_full,0.15,8.599750019370685,0.22522988302806574,20
candidate_set_quality,0.8,test,A2_outcome_len,0.05,1.9427530040128413,0.5224955334708856,20
candidate_set_quality,0.8,test,A5_outcome_base,0.05,2.0736017208717197,0.5166096035503698,20
candidate_set_quality,0.8,test,A5_outcome|A2_outcome_full,0.1,2.48120141270301,0.3153843858644896,20
candidate_set_quality,0.8,train,A2_outcome_clarity,0.4,5.51437071092402,0.08989703684963202,20
candidate_set_quality,0.8,train,A2_outcome_disc,0.25,5.115352826084025,0.17091598998008412,20
candidate_set_quality,0.8,train,A2_outcome_full,0.75,17.224196062632267,0.01028077168529673,20
candidate_set_quality,0.8,train,A2_outcome_len,0.0,1.6643922123762684,0.5048248909163203,20
candidate_set_quality,0.8,train,A5_outcome_base,0.1,2.9517671223111175,0.3035634700915523,20
candidate_set_quality,0.8,train,A5_outcome|A2_outcome_full,0.2,3.216700341839938,0.31294924222001563,20
