bin_lo,bin_hi,count
-6.423710827038211,-6.174846747406883,1
-6.174846747406883,-5.925982667775553,3
-5.925982667775553,-5.677118588144225,5
-5.677118588144225,-5.428254508512896,8
-5.428254508512896,-5.179390428881567,3
-5.179390428881567,-4.930526349250238,10
-4.930526349250238,-4.68166226961891,23
-4.68166226961891,-4.432798189987581,35
-4.432798189987581,-4.183934110356253,52
-4.183934110356253,-3.9350700307249236,71
-3.9350700307249236,-3.6862059510935947,129
-3.6862059510935947,-3.437341871462266,144
-3.437341871462266,-3.188477791830937,191
-3.188477791830937,-2.9396137121996087,205
-2.9396137121996087,-2.69074963256828,280
-2.69074963256828,-2.441885552936951,415
-2.441885552936951,-2.193021473305622,463
-2.193021473305622,-1.9441573936742937,605
-1.9441573936742937,-1.6952933140429645,683
-1.6952933140429645,-1.446429234411636,876
-1.446429234411636,-1.1975651547803068,1550
-1.1975651547803068,-0.9487010751489784,1544
-0.9487010751489784,-0.69983699551765,1902
-0.69983699551765,-0.4509729158863207,2110
-0.4509729158863207,-0.20210883625499232,2136
-0.20210883625499232,0.046755243376336963,3815
0.046755243376336963,0.29561932300766536,5492
0.29561932300766536,0.5444834026389938,6532
0.5444834026389938,0.793347482270323,7320
0.793347482270323,1.0422115619016519,9611
