model,disc_variant,link,cluster_col,n_train,n_test,ll_test,brier_test,n_clusters
base_full,original,logit,worker,46214,11490,-3594.9485380229917,0.08959404598513815,620
geom_full_add,original,logit,worker,46214,11490,-3595.281287134842,0.0895598054854482,620
geom_full_add_no_disc,original,logit,worker,46214,11490,-3611.796365111611,0.08985604811481067,620
geom_full_int_abs_t1_x_abs_t2,original,logit,worker,46214,11490,-3581.381174667828,0.08939421338558722,620
geom_full_int_abs_t1_x_abs_t2_no_disc,original,logit,worker,46214,11490,-3609.427657336887,0.08981532008852054,620
base_full,original,logit,game,46214,11490,-3594.9485380229917,0.08959404598513815,863
geom_full_add,original,logit,game,46214,11490,-3595.281287134842,0.0895598054854482,863
geom_full_add_no_disc,original,logit,game,46214,11490,-3611.796365111611,0.08985604811481067,863
geom_full_int_abs_t1_x_abs_t2,original,logit,game,46214,11490,-3581.381174667828,0.08939421338558722,863
geom_full_int_abs_t1_x_abs_t2_no_disc,original,logit,game,46214,11490,-3609.427657336887,0.08981532008852054,863
base_full,original,probit,worker,46214,11490,-3604.0289413117753,0.08974829481254101,620
geom_full_add,original,probit,worker,46214,11490,-3604.4842952469844,0.08973692622845332,620
geom_full_add_no_disc,original,probit,worker,46214,11490,-3620.103090270028,0.09008027888593044,620
geom_full_int_abs_t1_x_abs_t2,original,probit,worker,46214,11490,-3583.921385144975,0.0894557767080628,620
geom_full_int_abs_t1_x_abs_t2_no_disc,original,probit,worker,46214,11490,-3616.200987823371,0.08999984433615389,620
base_full,original,probit,game,46214,11490,-3604.0289413117753,0.08974829481254101,863
geom_full_add,original,probit,game,46214,11490,-3604.4842952469844,0.08973692622845332,863
geom_full_add_no_disc,original,probit,game,46214,11490,-3620.103090270028,0.09008027888593044,863
geom_full_int_abs_t1_x_abs_t2,original,probit,game,46214,11490,-3583.921385144975,0.0894557767080628,863
geom_full_int_abs_t1_x_abs_t2_no_disc,original,probit,game,46214,11490,-3616.200987823371,0.08999984433615389,863
