boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,cluster,worker,183.02972969824805,51.376117502295365,123.3604637634233,8.293148432529353,0.2806982099957018,0.6739914000135471,0.04531038999075097
1,cluster,worker,257.8595944547251,93.87567832097274,151.77477568681607,12.20914044693624,0.36405734104827114,0.5885946420095866,0.047348016942142204
2,cluster,worker,138.89263685774495,41.554339824890874,78.50098904525484,18.837307987599235,0.29918317316886417,0.5651918692108656,0.1356249576202702
3,cluster,worker,211.47152750729492,66.27989551918449,136.28379182248113,8.907840165629294,0.3134223141075013,0.6444545676144505,0.042123118278048134
4,cluster,worker,230.91202493105493,81.2564357331856,139.83084952700742,9.82473967086192,0.35189347872830323,0.6055589767088038,0.042547544562893
5,cluster,worker,348.26596279346904,131.61459717907078,202.52817229515054,14.123193319247697,0.3779140405320681,0.5815330636122346,0.04055289585569729
6,cluster,worker,257.33826555130236,83.15689988847892,163.20981364122878,10.971552021594638,0.3231423811391973,0.6342228711753388,0.04263474768546373
7,cluster,worker,222.96088134740648,83.09052531411808,132.86965129804972,7.000704735238666,0.37266862604768136,0.5959325711985273,0.03139880275379123
8,cluster,worker,401.65349835201323,155.7316180809115,228.2414084190144,17.68047185208737,0.3877262832762052,0.5682545013437958,0.04401921537999906
9,cluster,worker,273.1654586318532,88.09557452546936,166.98553647545575,18.08434763092805,0.3224989534427056,0.6112981389074641,0.06620290764983006
10,cluster,worker,348.9436546256211,132.37877411056144,204.86896837610882,11.695912138950764,0.37937005690099046,0.5871118894421826,0.033518053656826675
11,cluster,worker,402.197649130876,147.7264143858859,239.56310495239524,14.908129792594838,0.36729805533451887,0.5956352690526067,0.037066675612874356
12,cluster,worker,442.8991967970833,167.5340909502682,261.8432132130932,13.521892633721865,0.37826686560243383,0.5912027276334351,0.030530406764131015
13,cluster,worker,274.2836426758604,113.7718641210625,156.1838501289206,4.327928425877266,0.41479638745907443,0.5694245876466416,0.015779024894283882
14,cluster,worker,276.7969117204784,104.83751722196612,158.07292790579632,13.886466592715955,0.3787524816311376,0.5710790879972868,0.05016843037157551
15,cluster,worker,374.06331065896666,136.0918537550886,222.104398747041,15.867058156837023,0.36382037445838544,0.5937615168827222,0.04241810865889227
16,cluster,worker,187.54964757323205,56.94668068070639,125.63951086727918,4.963456025246463,0.30363523161764705,0.6699000104397479,0.026464757942605006
17,cluster,worker,274.34766722656605,101.74489700256646,165.53389524924646,7.068874974753119,0.3708611705400138,0.6033727092439343,0.02576612021605196
18,cluster,worker,204.26993337812792,74.85635377281483,121.63402962823942,7.779549977073656,0.36645801237055686,0.5954573324458885,0.03808465518355452
19,cluster,worker,191.23442250254766,62.676088602753985,112.76460528575178,15.793728614041887,0.3277448054725556,0.5896668801049639,0.0825883144224805
20,cluster,worker,364.6948011449658,132.2739148247877,212.102750142022,20.318136178156085,0.3626975608358315,0.5815897278385149,0.05571271132565349
21,cluster,worker,182.23006610300035,46.3100405077248,121.01125904191554,14.90876655336001,0.2541295270208011,0.6640575928536259,0.08181288012557299
22,cluster,worker,210.12644671604085,80.07074272075126,121.99099639282461,8.064707602464978,0.3810598045707054,0.580559935692816,0.0383802597364786
23,cluster,worker,344.6428206972778,127.68863687691265,206.16209693263164,10.792086887733452,0.3704955658689606,0.5981906035806189,0.03131383055042033
24,cluster,worker,209.7391164517021,78.2322766840172,122.23525022454912,9.271589543135786,0.37299802729946285,0.5827966298918636,0.04420534280867351
25,cluster,worker,255.9965939002086,96.77599304729522,149.0344194975111,10.186181355402292,0.37803625264256435,0.5821734470248733,0.03979030033256232
26,cluster,worker,201.51209809772172,76.84719648063901,113.27855718193018,11.386344435152523,0.38135276842471544,0.5621427112877194,0.056504520287565085
27,cluster,worker,183.27710665749646,69.21679457351281,105.24545019487125,8.814861889112384,0.3776619777333313,0.5742422068652101,0.048095815401458575
28,cluster,worker,370.63826664800854,135.53798479853472,223.45539015821706,11.64489169125674,0.3656880494945056,0.6028934685538836,0.031418481951610726
29,cluster,worker,291.1065597642273,104.68940326216162,176.08258477893983,10.33457172312584,0.35962571007314825,0.6048732976733758,0.03550099225347586
30,cluster,worker,335.1613267362509,123.06597483756764,197.59200434554666,14.503347553136562,0.36718429311628836,0.589542971051186,0.043272735832525534
31,cluster,worker,298.312970140747,98.70324784352276,188.19275257783593,11.416969719388284,0.3308714595847227,0.6308567558730174,0.038271784542259914
32,cluster,worker,250.11248978718277,98.62992956149156,148.79158057417482,2.6909796515163484,0.39434228032920066,0.5948986422100692,0.010759077460730033
33,cluster,worker,252.94527801951426,88.24516025875042,152.43450151909192,12.265616241671902,0.34887055789174476,0.6026382572254695,0.04849118488278572
34,cluster,worker,189.17461649577172,60.82954552041663,123.51743190929717,4.827639066057903,0.3215523659950237,0.6529281475353642,0.025519486469612093
35,cluster,worker,325.9187357371011,125.78088363298063,187.7762145639073,12.361637540213147,0.3859271341014297,0.5761442776194831,0.03792858827908725
36,cluster,worker,296.3523396293567,106.22571104996798,179.9905651858101,10.1360633935786,0.3584439764599896,0.607353278907538,0.03420274463247234
37,cluster,worker,251.7183470396776,85.51386439953012,153.77174872111596,12.432733919031534,0.33972042723628254,0.6108881236888044,0.04939144907491308
38,cluster,worker,384.8844214905557,150.92402595271776,218.0265539512338,15.933841586604103,0.39212817543570316,0.5664727948896309,0.04139902967466582
39,cluster,worker,310.0449058658064,121.77371729113459,177.7225496659897,10.548638908682127,0.39276154836693455,0.5732155126680635,0.03402293896500202
40,cluster,worker,330.61194562178116,112.29668025663976,203.8661483896653,14.449116975476045,0.3396631057763011,0.6166327354150942,0.04370415880860452
41,cluster,worker,251.24155448135298,88.40149034805275,154.32391638574458,8.516147747555653,0.3518585551285222,0.6142451900694573,0.033896254802020485
42,cluster,worker,241.61777601754284,84.42006019114349,145.6768977226066,11.52081810379271,0.34939507176414913,0.6029229311010198,0.047681997134830977
43,cluster,worker,206.69021451799108,71.3050195301129,122.9098861503227,12.475308837555454,0.34498498004077616,0.5946574995674223,0.06035752039180141
44,cluster,worker,290.71822305727574,94.85197292422093,183.95778041630908,11.908469716745685,0.32626772386928665,0.6327700358159754,0.04096224031473783
45,cluster,worker,367.6494530907503,126.01330078897254,228.93441997887217,12.701732322905551,0.34275394599286274,0.6226975670826367,0.034548486924500514
46,cluster,worker,249.79139350912692,88.14622191920277,151.1036752192273,10.541496370696828,0.35287933935955274,0.6049194613813076,0.04220119925913965
47,cluster,worker,263.1810162413499,91.94907545805441,155.48758484939222,15.74435593390323,0.3493757899837753,0.5908009136449359,0.05982329637128875
48,cluster,worker,184.42516898917438,61.04922728807757,120.5450246740028,2.830917027093998,0.3310243803635127,0.6536256701550248,0.015349949481462429
49,cluster,worker,391.2457899402789,147.69247112422,229.96165231556554,13.591666500493375,0.3774928061124039,0.5877677363650806,0.03473945752251559
50,cluster,worker,224.36320126429746,60.62235290319836,150.16196639994948,13.578881961149591,0.27019739672811083,0.6692807267581294,0.06052187651375955
51,cluster,worker,236.51112130236106,88.41044458583201,136.87285007859555,11.227826637933502,0.3738109400479571,0.5787163382630717,0.04747272168897123
52,cluster,worker,183.6330561917357,62.39493866587858,112.86151143974197,8.376606086115165,0.3397805382094742,0.6146034585510604,0.0456160032394655
53,cluster,worker,291.9280475333462,92.56784192764758,181.72352242869394,17.63668317700467,0.31709129256267776,0.6224942206278967,0.06041448680942545
54,cluster,worker,233.1881490397618,82.11930623130054,140.54697290920836,10.52186989925288,0.35215900366059366,0.6027191925831666,0.04512180375623959
55,cluster,worker,337.0917960288698,127.0482642327726,196.97424434439077,13.069287451706412,0.3768951535738108,0.5843341388454353,0.03877070758075379
56,cluster,worker,292.63215271445915,91.86087722165401,186.91660413103074,13.854671361774383,0.31391245414952346,0.6387425387032498,0.04734500714722663
57,cluster,worker,202.04869108355706,61.91591465281521,127.70359373371457,12.429182697027272,0.30644056301859407,0.6320436576394491,0.06151577934195671
58,cluster,worker,240.11813207209025,90.51102809130687,137.70705532763014,11.90004865315321,0.37694374560657046,0.5734971121892893,0.04955914220414008
59,cluster,worker,251.06897658499747,85.22546779759439,152.74705269827592,13.096456089127136,0.33945041301724493,0.608386805793047,0.05216278118970796
60,cluster,worker,177.52966805999358,55.050577972294754,112.97091034454402,9.508179743154793,0.31009227118980026,0.6363494709310623,0.05355825787913737
61,cluster,worker,346.0656500873747,126.56215637945327,209.3582765226118,10.145217185309622,0.36571718790206087,0.6049669375442289,0.029315874553710132
62,cluster,worker,193.93446312861352,57.263011078399884,123.76304487970407,12.908407170509538,0.29526990796073305,0.6381694252951156,0.06656066674415127
63,cluster,worker,263.4406930474247,90.53837913421694,162.4019210913177,10.500392821890047,0.3436765143869333,0.6164648263435977,0.0398586592694689
64,cluster,worker,182.82105361303638,63.99307217317869,106.02536458812165,12.802616851736046,0.35003119667293914,0.5799406714531773,0.07002813187388354
65,cluster,worker,355.04330753563227,134.1268868014578,210.71823875459648,10.198181979577988,0.3777761302767178,0.5935001006418034,0.028723769081478872
66,cluster,worker,444.18321417473544,182.7232726671973,254.74614873284239,6.713792774695776,0.41136915316956696,0.5735159290207414,0.01511491780969162
67,cluster,worker,275.2886994176001,103.04544368551242,159.6496800210099,12.59357571107777,0.3743177395349501,0.5799354654178114,0.0457467950472384
68,cluster,worker,329.994715880895,114.54989334768288,200.08773841457628,15.357084118635838,0.34712644728840863,0.6063361889915654,0.04653736372002596
69,cluster,worker,277.1216164416728,100.4660215185623,163.06578816918983,13.589806753920659,0.3625340484390105,0.5884268079228352,0.04903914363815417
70,cluster,worker,249.28895682266557,88.08390860889531,147.08277970778582,14.122268505984419,0.3533405961161559,0.5900092069157109,0.056650196968133046
71,cluster,worker,187.3807788158283,66.94952008193884,113.84964027970052,6.581618454188931,0.3572912894536626,0.6075844118013853,0.03512429874495202
