boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,cluster,game,344.4260356280706,110.83011841392658,217.2709066004315,16.325010613712493,0.3217820575376212,0.6308202171889585,0.047397725273420094
1,cluster,game,317.5957830721418,117.93645126685342,179.40365055211842,20.25568125316992,0.3713413639376446,0.5648804553282338,0.06377818073412156
2,cluster,game,278.43913488021917,102.46463733521819,155.98410018468235,19.99039736031864,0.367996536763042,0.5602089672192978,0.07179449601766018
3,cluster,game,333.3204794060912,105.01712816501063,205.67496280259402,22.628388438486503,0.31506353390625635,0.6170486829044068,0.06788778318933675
4,cluster,game,285.24789888444684,87.91840201808532,170.01425685258684,27.315240013774655,0.3082175271471529,0.5960228191600428,0.09575965369280419
5,cluster,game,313.7366689705609,98.81958307364576,199.5328769905451,15.38420890637,0.31497619770712354,0.6359883836507106,0.049035418642165665
6,cluster,game,222.13354194987596,73.96443287945331,133.8907289792443,14.278380091178327,0.3329728245009628,0.6027488140870527,0.06427836141198441
7,cluster,game,313.50400863027244,104.85591593889876,187.4839458626836,21.164146828690033,0.3344643546888724,0.5980272682375516,0.06750837707357593
8,cluster,game,244.21055173064087,81.38490079326554,144.38905274312688,18.436598194248443,0.3332571021870971,0.5912482147879711,0.0754946830249318
9,cluster,game,292.6761487837366,98.52776336311443,175.8361589244264,18.312226496195763,0.33664432094163665,0.600787456221295,0.06256822283706821
10,cluster,game,278.07837015316227,101.37446921537047,152.5406463627833,24.163254575008523,0.3645535938646886,0.5485527201513937,0.08689368598391774
11,cluster,game,327.59730133377343,107.0730603586256,198.74466592872415,21.779575046423663,0.3268435360202614,0.6066736970040928,0.06648276697564576
12,cluster,game,320.0604599732128,111.51906520370493,184.04942585232354,24.491968917184295,0.3484312470620033,0.5750458081192766,0.07652294481871998
13,cluster,game,269.29776226498825,95.32233363393378,158.95853886723648,15.01688976381797,0.35396630418390507,0.5902705523071585,0.05576314350893637
14,cluster,game,291.79301521178377,110.659134521253,164.97305743296465,16.160823257566108,0.379238462719666,0.5653769927056924,0.055384544574641585
15,cluster,game,240.55095546102984,78.42805397192622,140.51990280247088,21.60299868663272,0.32603509647930645,0.5841585726947388,0.08980633082595461
16,cluster,game,315.2933629211152,105.32568163406137,190.39888816525723,19.568793121796563,0.3340561331778282,0.6038785161896797,0.06206535063249199
17,cluster,game,286.14636575440545,98.61717004418067,169.6361676324656,17.893028077759176,0.34463890458361474,0.5928300615848514,0.06253103383153381
18,cluster,game,313.63145393990953,100.93882954012375,189.9912521828866,22.701372216899166,0.32183898735954974,0.6057786927815222,0.07238231985892797
19,cluster,game,321.3719492339942,105.19031435482671,199.53642659902462,16.64520828014285,0.3273164151555635,0.6208893684549305,0.05179421638950605
20,cluster,game,270.6740675594515,83.18291029453181,160.91516484785296,26.575992417066722,0.30731762020852377,0.5944979003668653,0.09818447942461096
21,cluster,game,277.9220273117662,86.54528691196424,170.68527338621357,20.691467013588408,0.3114013226986137,0.6141480581341001,0.07445061916728615
22,cluster,game,277.92548071537294,81.71796324223752,173.46506516417833,22.742452308957052,0.294028323822262,0.6241423590153871,0.08182931716235076
23,cluster,game,240.05601074061997,79.50574715946337,140.03386273917968,20.516400841976896,0.3311966524569517,0.5833382897064219,0.0854650578366264
24,cluster,game,269.02960315675045,90.3334656389552,160.24516619088058,18.45097132691467,0.33577518822834634,0.5956413878271735,0.06858342394448014
25,cluster,game,243.00412269127355,86.90679068111801,139.8752841409561,16.222047869199436,0.3576350463466392,0.5756086875886535,0.0667562660647073
26,cluster,game,210.40911588898416,68.68342762909386,123.14637101809996,18.579317241790324,0.3264280035534798,0.5852710824709435,0.08830091397557663
27,cluster,game,287.7323107053894,97.01529641674973,170.96354880170148,19.75346548693816,0.3371720616948167,0.5941757058238479,0.06865223248133519
28,cluster,game,321.58538607033233,97.03597138119986,203.72698779516932,20.822426893963133,0.3017424783101854,0.6335082271139436,0.06474929457587095
29,cluster,game,269.57810509051706,87.80447203691111,173.84974383571708,7.923889217888852,0.3257106952637297,0.6448956371191311,0.0293936676171391
30,cluster,game,350.40024505369047,126.26910574435236,203.1794246560305,20.95171465330759,0.36035678492463563,0.5798495506899491,0.05979366438541514
31,cluster,game,294.7334753544342,93.52775836554322,188.2643343337191,12.94138265517184,0.31732994785567076,0.638761287998658,0.04390876414567118
32,cluster,game,341.66737876393563,101.30484558798699,222.7059907493573,17.65654242659131,0.296501369122454,0.6518210534322887,0.05167757744525721
33,cluster,game,308.06616708970614,106.60072507138155,180.80234203567883,20.663099982645765,0.34603191281417267,0.5868945095260356,0.06707357765979167
34,cluster,game,304.4677346263802,99.53131904319837,172.00518764457289,32.931227938608956,0.3269026820373452,0.5649373253150934,0.10815999264756139
35,cluster,game,278.4329580237313,102.47009703140739,155.560980603373,20.401880388950907,0.36802430918639195,0.5587017489147756,0.07327394189883232
