boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,cluster,worker,192.29688358119756,52.81611798736859,131.41257185252053,8.068193741308429,0.2746592508612701,0.6833837834768208,0.041956965661909054
1,cluster,worker,275.8827581994983,97.4554806841072,166.55731005657523,11.869967458815834,0.3532496242974144,0.6037249705040759,0.0430254051985095
2,cluster,worker,147.2362203000739,41.65804916550594,87.51514189425582,18.063029240312137,0.2829334322804878,0.5943859582641833,0.12268060945532891
3,cluster,worker,230.05226696708087,70.1599326688018,151.18029236753642,8.712041930742618,0.3049738809087297,0.657156281746919,0.03786983734435123
4,cluster,worker,235.67763153550095,82.14738000912794,143.75808924309868,9.772162283274307,0.3485582381065035,0.6099776559467159,0.041464105946780495
5,cluster,worker,372.33054147969506,138.00380005242775,220.65247139578423,13.674270031483045,0.37064861642555785,0.5926252262811416,0.03672615729330055
6,cluster,worker,280.90091026893606,86.89970674939505,183.32034072760976,10.68086279193123,0.30936071608382043,0.6526156876889359,0.03802359622724367
7,cluster,worker,236.40481270011787,86.5403997247149,143.0087356911167,6.85567728428623,0.3660686884344117,0.6049315750289943,0.028999736536593834
8,cluster,worker,425.8630604085256,162.3289492596867,246.28398689010083,17.250124258738044,0.38117640234860095,0.5783173272972852,0.04050627035411382
9,cluster,worker,292.2263815572069,92.47617405384791,182.2218087005133,17.528398802845686,0.31645388606279745,0.6235638539186482,0.059982260018554445
10,cluster,worker,374.61637184188385,139.39435533282509,223.77759177348722,11.444424735571525,0.3720989412381046,0.5973513401809841,0.030549718580911166
11,cluster,worker,426.22749674618353,154.22737684966023,257.39551712275625,14.604602773767056,0.3618428609768973,0.6038923323523495,0.03426480667075317
12,cluster,worker,477.34099450726717,174.1939122480691,289.953417716608,13.193664542590037,0.36492552337324363,0.6074345615672732,0.027639915059483065
13,cluster,worker,294.61512517889787,118.7790644703091,171.46339884845884,4.372661860129939,0.40316689239285797,0.5819911613307085,0.01484194627643352
14,cluster,worker,289.2776216105317,109.03791198915654,166.73205616695054,13.507653454424597,0.3769317217906316,0.5763738488953352,0.046694429314033135
15,cluster,worker,403.9829792375449,143.6359985838732,245.03887765767206,15.308102995999585,0.3555496294793504,0.6065574300188212,0.0378929405018282
16,cluster,worker,199.1290473319682,59.49773925815232,134.70806216775037,4.923245906065479,0.2987898553994666,0.676486248353202,0.024723896247331168
17,cluster,worker,287.4437920492387,104.59087807827919,175.84965744601655,7.003256524942951,0.3638654963902053,0.6117705871897687,0.024363916420025878
18,cluster,worker,221.20440351730213,78.38682918900857,135.24229725314885,7.575277075144715,0.35436378273942143,0.6113906192765756,0.034245597984003034
19,cluster,worker,209.24043622558474,66.14899422873835,127.99257354061189,15.098868456234488,0.31613867482775787,0.6117009496320371,0.0721603755402049
20,cluster,worker,396.2384189721979,140.3061339884701,236.4070020759512,19.525282907776575,0.3540952297165174,0.5966281681851217,0.0492766020983608
21,cluster,worker,203.54059227692733,52.073494377560635,137.24275641262903,14.224341486737634,0.2558383750142183,0.674277080936776,0.06988454404900568
22,cluster,worker,227.81819457297524,81.6315290734088,138.35401233844647,7.8326531611199535,0.3583187428309656,0.6073000999668997,0.03438115720213462
23,cluster,worker,379.91317560322386,136.92563723469735,232.5525969360066,10.434941432519889,0.36041297335183925,0.612120378733275,0.02746664791488569
24,cluster,worker,223.02785340951868,80.17687626830669,133.7921070764906,9.058870064721381,0.35949265996425894,0.5998896775947736,0.04061766244096736
25,cluster,worker,265.8610864791108,99.22842207605487,156.64404749233503,9.988616910720868,0.37323409525692824,0.5891950926960605,0.03757081204701122
26,cluster,worker,204.30897978421172,77.57256967430429,115.64230630269707,11.094103807210331,0.37968262460238095,0.5660167576816098,0.05430061771600919
27,cluster,worker,195.61738118662788,73.92540407013242,113.14234792553209,8.549629190963364,0.37790815735133587,0.5783859657010189,0.0437058769476452
28,cluster,worker,403.453104247631,143.67313899626052,248.4145797779976,11.365385473372877,0.35610864678854215,0.6157210767810227,0.028170276430435005
29,cluster,worker,305.43449699149505,106.47442054691253,188.83303352595354,10.127042918628982,0.34859985232734647,0.6182439619163635,0.03315618575628991
30,cluster,worker,363.9788899134164,129.92922081911243,220.0258287031708,14.023840391133186,0.35696911117570607,0.6045016202876785,0.038529268536615376
31,cluster,worker,320.077433380955,102.91800291782413,205.9895446631266,11.169885800004218,0.3215409528585275,0.6435615984771991,0.03489744866427325
32,cluster,worker,257.44815075615406,99.38320129496354,155.29606919022444,2.768880270966065,0.3860319097381898,0.603212991563942,0.010755098697868108
33,cluster,worker,267.69970496681435,90.84937731741805,164.9462754607508,11.904052188645512,0.33937047980191193,0.6161615885277069,0.04446793167038122
