boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,cluster,worker,176.8304197344005,50.18914262710677,117.51880325234356,9.122473854950158,0.28382640669230397,0.6645847667435102,0.05158882656418576
1,cluster,worker,247.13954316788931,93.83452975632295,139.85848242765465,13.446530983911694,0.3796823792483032,0.5659089623413465,0.05440865841035023
2,cluster,worker,138.2382747776719,41.756800013177326,76.01502988201219,20.466444882482392,0.3020639550105398,0.5498841041257703,0.14805194086368986
3,cluster,worker,203.15046131487452,65.24273313920153,128.01168086962744,9.896047306045524,0.32115473780824,0.6301323661343541,0.04871289605740582
4,cluster,worker,225.05464391149417,81.13469421292507,133.5722546830907,10.347695015478394,0.3605110865645252,0.5935103242553832,0.0459785891800916
5,cluster,worker,337.83485412871505,132.22096587267484,190.24738434412362,15.366503911916576,0.3913775155428417,0.5631372311621802,0.04548525329497808
6,cluster,worker,245.97453568485616,82.46776279730366,151.54246504647122,11.964307841081258,0.3352695130318765,0.6160900542998817,0.04864043266824168
7,cluster,worker,214.8464970859227,83.10662501735062,124.24974531989285,7.490126748679208,0.38681861768551024,0.5783186926720157,0.03486268964247395
8,cluster,worker,388.28425944392984,156.64421590949814,212.45223678006553,19.187806754366193,0.40342664452540944,0.5471564494639132,0.04941690601067748
9,cluster,worker,263.4869274534303,87.47850601057735,156.22969528207295,19.77872616078002,0.33200321114996734,0.5929314854137709,0.07506530343626171
10,cluster,worker,333.982310943833,132.64692152963244,188.61538977580767,12.719999638392894,0.3971675061316051,0.5647466455417389,0.03808584832665602
11,cluster,worker,391.0399649109904,147.7324458845942,227.1861562600288,16.121362766367383,0.3777937273450335,0.5809793797207954,0.04122689293417099
12,cluster,worker,425.88622049552214,168.35769477725097,242.75853111277834,14.769994605492835,0.39531143924160167,0.5700079491426766,0.03468061161572174
13,cluster,worker,264.9620048770212,115.03856476972608,145.4814025044505,4.442037602844568,0.4341700419391067,0.5490651483105055,0.01676480975038774
14,cluster,worker,273.08809943465576,105.4883352244877,152.52162252963817,15.0781416805299,0.3862795026325519,0.5585070270194377,0.05521347034801047
15,cluster,worker,359.79989564670996,136.3146394033141,206.13800337077856,17.347252872617297,0.3788623650329304,0.5729240221158566,0.04821361285121296
16,cluster,worker,180.84428187933645,55.834397730118404,119.55170789165807,5.458176257559973,0.30874295360564635,0.6610754105646856,0.030181635829668072
17,cluster,worker,266.74164904866757,101.71680938788955,157.49120398679025,7.533635673987722,0.3813308111075339,0.590425996646874,0.028243192245591894
18,cluster,worker,193.8282578273729,74.70030481491835,110.45691036283824,8.671042649616309,0.3853942951984217,0.5698700055448739,0.04473569925670437
19,cluster,worker,184.32725046021278,62.22402741631352,104.65585936030227,17.44736368359698,0.33757367541130134,0.5677720418386664,0.09465428275003218
20,cluster,worker,350.4848253119326,132.21967630445243,196.17179384672573,22.093355160754374,0.37724793416313107,0.5597155131384995,0.06303655269836923
21,cluster,worker,173.17338661632948,44.65879006897792,112.15694605080996,16.357650496541584,0.2578848340473974,0.6476569422257523,0.09445822372685024
22,cluster,worker,200.52587526358366,80.6628929419237,110.90554440201412,8.957437919645827,0.40225678025788636,0.5530734836899875,0.04466973605212601
23,cluster,worker,330.4815804028858,128.00978790837308,190.38163271642844,12.090159778084248,0.3873431849131138,0.5760733547822443,0.03658346030464176
24,cluster,worker,205.02635266142443,78.89971695940258,116.22601026533508,9.900625436686747,0.3848271987245253,0.5668832750357117,0.04828952623976295
25,cluster,worker,251.80212133903024,97.55662089882071,143.10003950602479,11.145460934184712,0.3874336736324353,0.5683035502046176,0.044262776162946986
26,cluster,worker,200.0128841371079,77.6813076112722,109.7638179551903,12.567758570645386,0.3883815182527043,0.548783736751417,0.0628347449958786
27,cluster,worker,180.811293851983,69.57639047278022,101.82109544523261,9.41380793397017,0.3848011315583933,0.5631345989293463,0.05206426951226049
28,cluster,worker,354.16410547034593,135.7352679190074,205.831894410419,12.59694314091947,0.383255292737091,0.5811766105914797,0.03556809667142908
29,cluster,worker,280.1100365697698,104.54518857437354,164.3489502107412,11.215897784655073,0.3732289990556387,0.5867299587810563,0.04004104216330505
30,cluster,worker,321.9782285826723,123.414044358208,182.8338619561548,15.730322268309465,0.3832993457398309,0.5678454184960824,0.048855235764086735
31,cluster,worker,285.20074180177016,97.63277903994336,175.32203168602032,12.24593107580646,0.3423300319036455,0.6147320325270351,0.04293793556931924
32,cluster,worker,242.2176422902794,99.26574974782989,140.1323894086288,2.8195031338207173,0.40982047719243936,0.578539152159242,0.011640370648318661
33,cluster,worker,247.9178388055484,88.25711111458916,146.2559650982962,13.404762592663017,0.35599338692127214,0.5899372380904403,0.054069374988287525
34,cluster,worker,183.17041038400612,60.65106007315133,117.45276352796175,5.06658678289303,0.33111821907261063,0.6412212719386764,0.027660508988712893
35,cluster,worker,313.49058124611383,126.45458326642543,173.61387689032622,13.42212108936216,0.40337602094382863,0.5538089093465497,0.0428150697096216
36,cluster,worker,287.6657697835517,106.57854628118228,169.92323049806922,11.16399300430021,0.3704943635156006,0.5906967333163223,0.03880890316807707
37,cluster,worker,246.1353670615863,85.2871935423565,147.29975997379157,13.548413545438203,0.3465052363686383,0.5984502013354921,0.05504456229586954
38,cluster,worker,374.8730901954659,152.3182170239741,205.44511512708536,17.109758044406433,0.40631942117945175,0.5480391111028066,0.04564146771774171
39,cluster,worker,298.18057925355697,122.42176880649413,164.09856808037625,11.660242366686589,0.4105625158853593,0.5503328502854491,0.03910463382919159
40,cluster,worker,319.28373908762296,112.04412155941539,191.52386170827305,15.715755819934504,0.3509233570102561,0.5998547318932268,0.04922191109651699
41,cluster,worker,241.8317441181007,88.12382039966936,144.38274996368347,9.32517375474784,0.36440137634136777,0.5970380377076256,0.03856058595100653
42,cluster,worker,232.73207211577255,84.14209617010161,135.93813043168475,12.651845513986169,0.36154061365571105,0.5840971087305162,0.05436227761377258
43,cluster,worker,200.3129611735635,71.11211510459133,115.69297755314938,13.507868515822791,0.35500506151958583,0.5775611167412469,0.06743382173916715
44,cluster,worker,279.57660574721467,94.26563150610876,172.39787268207124,12.913101559034656,0.33717281620959766,0.6166391219369355,0.046188061853466814
45,cluster,worker,352.10264500346966,125.5207001497657,212.79143561716552,13.79050923653843,0.3564889441501605,0.6043448938449998,0.03916616200483963
46,cluster,worker,240.88224412011823,88.27900826536506,141.1160553622758,11.487180492477362,0.3664820069566601,0.5858300427154229,0.04768795032791695
47,cluster,worker,258.69043675267767,91.90260508468054,149.8471615132364,16.94067015476071,0.3552609297750906,0.5792528065368668,0.06548626368804242
48,cluster,worker,174.59876249663193,60.47593249331271,111.01436046292383,3.1084695403953897,0.3463709113887867,0.6358255859062307,0.017803502704982533
49,cluster,worker,379.888317333558,148.418901374502,216.77030139856817,14.69911456048779,0.3906908809838022,0.5706158665791101,0.03869325243708757
50,cluster,worker,216.9123917862321,59.14201320812109,142.86544276774967,14.90493581036132,0.2726539167315335,0.6586320015711414,0.068714081697325
51,cluster,worker,232.01757476690727,88.96821703506453,131.0406067665865,12.008750965256239,0.3834546461596498,0.5647874170662905,0.051757936774059626
52,cluster,worker,175.27628129913228,62.3723537236145,103.74124537783139,9.162682197686383,0.355851648958525,0.5918726972577834,0.05227565378369163
53,cluster,worker,283.76868475340416,91.96402145759232,172.4605933851636,19.344069910648233,0.3240809377451544,0.6077506174968967,0.06816844475794885
54,cluster,worker,221.02615930831962,82.45547958951238,127.04195743994295,11.52872227886428,0.37305755955561537,0.5747824503556895,0.05215999008869503
55,cluster,worker,324.79425228290074,127.45909322343655,183.08915923540977,14.245999824054401,0.3924302610885421,0.5637081258320308,0.04386161307942703
56,cluster,worker,282.31037892235645,90.48985812625975,176.69660046471077,15.12392033138591,0.3205332317985627,0.6258948081866571,0.053571960014780144
57,cluster,worker,196.9506329956389,61.005828471097324,122.40939550528371,13.535409019257864,0.30975187813916893,0.6215232398262677,0.06872488203456335
58,cluster,worker,231.64336674431297,90.86707373352267,127.99245717228503,12.783835838505258,0.3922714257292823,0.5525409985668297,0.05518757570388797
59,cluster,worker,241.6285542368705,85.03866268128694,142.42679444115197,14.163097114431592,0.3519396246435461,0.5894452122638195,0.05861516309263427
60,cluster,worker,167.03186505867689,54.08259497300764,102.37476117996084,10.574508905708399,0.32378609287520604,0.6129055742986372,0.06330833282615664
61,cluster,worker,328.45580090376643,126.4385325279592,190.9393481718968,11.077920203910404,0.3849483923866035,0.5813243293207652,0.033727278292631224
62,cluster,worker,185.6899588225824,55.93366650839911,115.57442663737638,14.18186567680694,0.3012207383913578,0.622405365213108,0.0763738963955343
63,cluster,worker,255.90305666702352,90.3924945083373,154.3277586768962,11.182803481790037,0.3532294443280308,0.6030711812782475,0.043699374393721686
64,cluster,worker,178.26339233826184,63.94131470087639,100.29563632870061,14.026441308684829,0.3586901037962142,0.5626260950895946,0.0786838011141912
65,cluster,worker,345.9043015662073,134.43758047823258,200.40905402102317,11.05766706695158,0.38865541674248516,0.5793771662092619,0.03196741704825288
66,cluster,worker,428.8551490671216,184.4663337990764,237.18566728955054,7.203147978494599,0.4301366888105264,0.5530670852512669,0.01679622593820649
67,cluster,worker,270.5187394755508,103.34390881212978,153.54691802291956,13.62791264050141,0.38202125668809683,0.5676017799010814,0.05037696341082163
68,cluster,worker,316.1708474016659,114.41719611432138,185.1344830796184,16.61916820772611,0.3618840796190323,0.5855520349237705,0.05256388545719709
69,cluster,worker,267.04793083892946,100.1771969733504,151.99844403476618,14.872289830812859,0.3751281526827201,0.569180384799328,0.05569146251795193
70,cluster,worker,242.11192311867399,87.87468106198457,138.71956502581997,15.517677030869434,0.3629506549287611,0.572956355221816,0.06409298984942292
71,cluster,worker,181.4287753093663,66.870036896135,107.35992631308348,7.19881210014781,0.3685745923275426,0.5917469603706298,0.039678447301827596
72,cluster,worker,255.97767780801632,81.45221330862879,164.90984113269943,9.61562336668809,0.31820045406349096,0.6442352417009661,0.03756430423554285
73,cluster,worker,177.67209550098823,62.006991975976916,108.99506694076739,6.670036584243916,0.3489967954795244,0.613461931843772,0.03754127267670356
74,cluster,worker,404.2148538937081,152.18254957692884,235.98311249113004,16.049191825649206,0.37648925592661814,0.583806137300397,0.03970460677298485
75,cluster,worker,153.67403301715194,54.383153265731984,84.65061110925755,14.640268642162406,0.35388641918223196,0.550845249827012,0.09526833099075606
76,cluster,worker,345.71951937885297,120.74001223022636,212.05020141203008,12.929305736596536,0.34924268218108545,0.6133590657334484,0.03739825208546613
77,cluster,worker,314.0153665878688,108.95119996703397,190.45906570609256,14.605100914742254,0.3469613641870831,0.6065278517279111,0.04651078408500562
78,cluster,worker,208.28164539302225,71.71414486715707,125.52644265545155,11.041057870413624,0.3443133202248056,0.6026764500471767,0.05301022972801768
79,cluster,worker,333.50442427490907,126.82614772686487,192.22959415378742,14.448682394256744,0.3802832541205557,0.576392935631138,0.04332381024830614
80,cluster,worker,193.80745116922753,73.44955676805921,105.58376910762898,14.774125293539328,0.37898210994955506,0.5447869443132815,0.0762309457371634
81,cluster,worker,238.4671936867967,78.57768903622573,149.54508884416205,10.344415806408884,0.32951152660197713,0.6271096939253409,0.04337877947268194
82,cluster,worker,345.8220419331992,138.0794136214831,191.00206861771176,16.740559694004332,0.39927881071315646,0.5523131711037861,0.04840801818305736
83,cluster,worker,213.81235730993876,78.05990591715204,119.38494810566637,16.36750328712037,0.365086035714941,0.5583631816593648,0.07655078262569416
84,cluster,worker,147.8784374480815,50.119623838476926,91.13259617848901,6.626217431115568,0.33892448894771,0.6162669673222958,0.04480854372999417
85,cluster,worker,264.96747423386614,105.34634386492492,143.0284840104376,16.59264635850362,0.3975821718100536,0.5397963822691593,0.0626214459207872
86,cluster,worker,338.49109850729565,132.1769784511304,191.91175695658663,14.402363099578603,0.39048878695485556,0.5669624926708383,0.042548720374306036
87,cluster,worker,303.43232190194976,122.54217114769934,163.78121665425064,17.10893409999979,0.4038533877326927,0.5397619331640432,0.056384679103264154
88,cluster,worker,190.9147122209206,76.84500181780852,99.23008229596697,14.839628107145094,0.40250958621190946,0.5197613171956124,0.07772909659247809
89,cluster,worker,201.26007525806062,66.6691611958206,117.88932515735883,16.70158890488119,0.33125875119710535,0.5857561416798549,0.08298510712303969
