boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,cluster,game,342.9480992220383,110.44115456675536,214.1572323605551,18.34971229472785,0.32203460178751814,0.6244595985408893,0.05350579967159262
1,cluster,game,317.2657173567959,118.16929872731573,176.96920737162174,22.12721125785841,0.37246160635257974,0.5577949261142602,0.06974346753315999
2,cluster,game,277.0927103148324,102.2308249388456,152.720014372036,22.141871003950804,0.36894086756266903,0.5511513247624439,0.07990780767488699
3,cluster,game,333.01930423981594,104.53923452206858,203.08770031047507,25.39236940727225,0.3139134374227962,0.6098376211975577,0.07624894137964608
4,cluster,game,284.44663273641163,87.5151900573891,167.04467332912068,29.886769349901822,0.30766822308804365,0.5872619117411598,0.10506986517079644
5,cluster,game,312.2792267397808,98.44981733657292,197.36222063534922,16.46718876785864,0.31526214011862586,0.6320056018321359,0.05273225804923805
6,cluster,game,221.08058942149546,73.82155918094963,131.4717372593659,15.787292981179917,0.3339124405906439,0.5946778846726878,0.07140967473666837
7,cluster,game,312.9943615056736,104.54762270831013,184.40477483210762,24.04196396525587,0.33402398115218124,0.5891632486445445,0.0768127702032743
8,cluster,game,243.26750752136286,80.97567899007745,142.1419937886118,20.14983474267357,0.33286680911533767,0.5843032439345786,0.08282994695008368
9,cluster,game,292.21419009615965,98.40284325038374,173.45883960560442,20.352507240171462,0.3367490237828699,0.593601698632513,0.06964927758461699
10,cluster,game,278.29002099716035,100.68713770381046,150.70100196340118,26.901881329948687,0.36180649720400093,0.5415249940454707,0.09666850875052825
11,cluster,game,327.6183847283942,106.82214063952064,196.88419345424327,23.912050634630223,0.32605661226270777,0.6009558762017168,0.07298751153557533
12,cluster,game,319.7691961444061,111.04803555685747,181.5322603604745,27.1889002270741,0.3472755878171228,0.5676977724849253,0.08502663969795181
13,cluster,game,268.1662495865676,94.96883775359235,156.61567696598232,16.5817348669929,0.35414164869742554,0.5840245638943641,0.06183378740821036
14,cluster,game,290.6222375733314,110.59124485551698,162.29977255233226,17.73122016548215,0.3805326315664746,0.5584561384824515,0.06101122995107389
15,cluster,game,240.28799293582233,77.80986365411225,138.28762506536492,24.190504216345133,0.3238191917267136,0.5755078452975371,0.10067296297574922
16,cluster,game,313.5881231878179,105.15335591688843,186.66473982111012,21.770027449819352,0.33532314568529986,0.5952544947287772,0.0694223595859228
17,cluster,game,285.74774832798767,98.32326384087838,167.2419295991188,20.18255488799044,0.34409112378383727,0.5852782063120748,0.07063066990408776
18,cluster,game,312.2900531987648,100.47551520118296,186.62193989449898,25.192598103082823,0.32173780167513955,0.5975916875447801,0.08067051078008036
19,cluster,game,319.58329420219525,105.04011230994031,196.28151250468528,18.26166938756963,0.32867835777261595,0.614179514591589,0.05714212763579489
20,cluster,game,269.8919850794905,82.23726621784915,158.04402845973172,29.610690401909626,0.30470436605825124,0.585582518922092,0.10971311501965675
21,cluster,game,277.11918384679166,86.23499573611805,168.04364052245325,22.840547588220332,0.31118378215127107,0.6063948305194129,0.08242138732931595
22,cluster,game,277.7550636337364,81.28015796525005,171.2840994489943,25.19080621949206,0.2926324975030183,0.6166731839490754,0.09069431854790624
23,cluster,game,239.488292018038,78.95798630372572,137.48948073165462,23.040824982657643,0.3296945568336121,0.5740968778603134,0.09620856530607447
24,cluster,game,269.40545623796015,90.20100210732744,159.42693645046575,19.777517680166966,0.33481505299452735,0.5917732278950107,0.0734117191104619
25,cluster,game,241.69108546381085,86.5325083216723,137.02990126738737,18.128675874751174,0.3580293752068447,0.5669629932954449,0.07500763149771048
