boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,cluster,worker,197.7802042567364,53.37083024681533,130.35619703101835,14.053176978902682,0.2698492017812623,0.6590962807471082,0.07105451747162927
1,cluster,worker,282.8645205529069,93.59425375892631,160.8183736410486,28.451893152931994,0.33088014564704116,0.5685349768387413,0.10058487751421748
2,cluster,worker,148.8767832057565,40.73038513894562,86.32315989800576,21.823238168805116,0.2735845325369089,0.579829561327249,0.14658590613584196
3,cluster,worker,236.63199108493336,68.86586946772277,148.7732841107535,18.992837506457057,0.2910251870509133,0.6287116269809644,0.08026318596812226
4,cluster,worker,240.52106514148682,78.7960235070284,139.28798439693537,22.43705723752305,0.3276054987561133,0.5791092947097962,0.09328520653409057
5,cluster,worker,378.70741496083247,133.99260281028393,214.67921362640465,30.035598524143854,0.3538156305287606,0.5668735418043179,0.07931082766692134
6,cluster,worker,290.7714253399072,85.25642348205982,178.77775314842262,26.737248709424723,0.29320770905324145,0.6148394841048574,0.091952806841901
7,cluster,worker,238.98113426479722,83.96108257292933,139.28724197232592,15.732809719541969,0.35132933330167515,0.582837814377398,0.06583285232092677
8,cluster,worker,432.1442873309925,156.13375160755746,238.19593202073898,37.814603702696026,0.3613000476573924,0.5511953738689538,0.0875045784736538
9,cluster,worker,296.3913207933879,89.0636971103804,177.20735830470923,30.1202653782982,0.3004936071406289,0.597883088581528,0.1016233042778429
10,cluster,worker,379.8350039242814,134.35221818005147,216.4569247896267,29.025860954603257,0.3537120507377831,0.5698709243573995,0.07641702490481747
11,cluster,worker,434.9243361323206,150.21895577430206,250.18732459459335,34.51805576342516,0.34539101010112183,0.5752433327126509,0.0793656571862271
12,cluster,worker,485.63086543758345,168.50500980401586,280.86495714609174,36.260898487475814,0.3469816722876179,0.5783507127229548,0.07466761498942721
13,cluster,worker,301.8539493195967,114.98166659097583,165.74742905505053,21.124853673570364,0.38091821177146706,0.5490980967075589,0.06998369152097396
14,cluster,worker,292.44909167646665,107.03718136128842,162.3845566161573,23.0273536990209,0.36600278273287484,0.5552575174205077,0.07873969984661747
15,cluster,worker,412.11524152751826,141.1626095828895,239.3684953804307,31.58413656419801,0.3425318827317956,0.5808290285338725,0.07663908873433169
16,cluster,worker,212.03526623015568,58.505888480931766,132.05010932180284,21.479268427421097,0.27592527187164234,0.6227742755701204,0.10130045255823728
17,cluster,worker,293.38063402163425,101.93041608778442,171.55333720389723,19.896880729952574,0.34743403029208786,0.5847466305197455,0.06781933918816657
18,cluster,worker,229.3921998799251,76.83769980045159,132.80268738433702,19.751812695136476,0.3349621296655777,0.5789328819979596,0.08610498833646273
19,cluster,worker,215.17241904009006,66.67272180659764,127.05445073173888,21.445246501753523,0.30985719314786087,0.5904774008608724,0.09966540599126662
20,cluster,worker,401.0258987555335,137.31279850597758,230.18511164016473,33.52798860939113,0.3424038171402088,0.5739906383963651,0.08360554446342601
21,cluster,worker,206.24809607799216,53.70972438956293,136.1868178760523,16.351553812376928,0.2604131888289177,0.6603058184088818,0.07928099276220049
