boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,pigeonhole,worker+game+listener,303.43407182800047,70.54168673707318,213.38448891639837,19.50789617452892,0.23247780419681824,0.7032318013296606,0.06429039447352121
1,pigeonhole,worker+game+listener,250.05506287279104,93.26162780080857,154.40528684089145,2.3881482310910087,0.3729643652456378,0.617485145339533,0.009550489414829071
2,pigeonhole,worker+game+listener,301.940300893963,96.74282779360767,194.58801288180513,10.609460218550186,0.32040382654179816,0.6444585645098816,0.035137608948320125
3,pigeonhole,worker+game+listener,279.3764043835654,85.35374158375967,171.35231166884924,22.670351130956455,0.30551521261106435,0.6133385245863276,0.0811462628026079
4,pigeonhole,worker+game+listener,363.0849488687868,131.91520668103536,213.07579027658167,18.09395191116975,0.3633177499976939,0.5868483145347452,0.04983393546756085
5,pigeonhole,worker+game+listener,255.6865147681924,93.33811748976585,140.86675816745105,21.48163911097549,0.3650490428655848,0.5509354229931214,0.0840155341412938
6,pigeonhole,worker+game+listener,250.6277528673495,97.49480881875236,148.1847910138386,4.948153034758509,0.3890024456723024,0.5912545171813786,0.01974303714631888
7,pigeonhole,worker+game+listener,205.7963455180643,52.41651002212529,135.68275839165472,17.69707710428429,0.25470087862918,0.6593059660514954,0.08599315531932458
8,pigeonhole,worker+game+listener,213.02338451791638,90.01932316760825,112.49582708629485,10.508234264013252,0.4225795368490972,0.5280914456451768,0.049329017505725783
9,pigeonhole,worker+game+listener,211.26163303083194,90.79409057081376,115.81540298894333,4.65213947107486,0.42977084512815017,0.5482084055084484,0.02202074936340153
10,pigeonhole,worker+game+listener,357.91602972692044,111.85386877961938,234.7740572440265,11.288103703274524,0.3125142756667273,0.6559473109465153,0.03153841338675728
11,pigeonhole,worker+game+listener,301.91138625094936,106.79930384067453,184.01930647300142,11.092775937273396,0.35374387553539544,0.6095142974172038,0.03674182704740078
12,pigeonhole,worker+game+listener,399.5112341044951,152.1518778503591,236.677645117466,10.681711136669945,0.3808450548115567,0.5924179970757999,0.02673694811264322
13,pigeonhole,worker+game+listener,302.8330940847268,125.84807778338494,163.87507547741458,13.109940823927218,0.41556910470351405,0.5411399172626937,0.04329097803379215
14,pigeonhole,worker+game+listener,264.15945972510144,79.26800924995176,164.03401478406158,20.857435691088085,0.3000763604394191,0.6209658929298395,0.07895774663074136
15,pigeonhole,worker+game+listener,297.66462712649854,98.9832107861539,184.33063621499946,14.35078012534518,0.3325326618136894,0.6192561003785796,0.04821123780773094
16,pigeonhole,worker+game+listener,137.3526787919891,66.48841283293821,81.37791044846229,-10.513644489411414,0.48407073977516085,0.5924741414887391,-0.07654488126390009
17,pigeonhole,worker+game+listener,188.26858976632548,72.58354741366118,102.38146450431336,13.303577848350944,0.3855319015442255,0.5438053401865218,0.07066275826925261
18,pigeonhole,worker+game+listener,305.0569875034689,96.62501795250402,199.1764948514343,9.255474699530547,0.3167441557174797,0.6529156944787878,0.030340149803732324
19,pigeonhole,worker+game+listener,259.3605943325665,79.10250118978252,177.67782853732749,2.5802646054564775,0.30499043770833173,0.6850610016319563,0.009948560659711935
20,pigeonhole,worker+game+listener,275.4529754036935,69.23464005863683,192.41361372547905,13.804721619577547,0.2513483107494815,0.698535252499941,0.050116436750577364
21,pigeonhole,worker+game+listener,352.30337999856647,119.93084585187846,223.51414285210825,8.858391294579784,0.3404192314373097,0.6344365553717303,0.0251442131909601
22,pigeonhole,worker+game+listener,345.71189086413324,152.6344559858084,189.553852691431,3.523582186893843,0.4415076831875436,0.5483000663287186,0.010192250483737716
23,pigeonhole,worker+game+listener,235.80126871697803,85.69844348611127,137.09589134775115,13.006933883115607,0.3634350398214836,0.5814043838428256,0.055160576335690804
24,pigeonhole,worker+game+listener,208.979564682415,53.88398914383431,145.39132412745704,9.704251411123627,0.25784334093011196,0.6957202937445456,0.04643636532534231
25,pigeonhole,worker+game+listener,226.8822656138891,90.76907434770564,112.64699929518868,23.466191970994785,0.40007126207994376,0.4964997990935645,0.10342893882649173
26,pigeonhole,worker+game+listener,280.2807948355303,83.32639922735741,180.98605228907564,15.968343319097205,0.29729614287790795,0.6457311939452679,0.05697266317682409
27,pigeonhole,worker+game+listener,290.53196102781476,88.40561233631585,188.49816286570524,13.628185825793631,0.3042887674855578,0.6488035333491551,0.04690769916528703
28,pigeonhole,worker+game+listener,219.9471488840436,56.19069851828855,159.84416503391245,3.912285331842592,0.25547363902367454,0.726738972725591,0.017787388250734514
29,pigeonhole,worker+game+listener,309.6538214817342,126.78155326188067,169.79184577631037,13.080422443543132,0.40942996490472583,0.5483279520460431,0.04224208304923088
30,pigeonhole,worker+game+listener,280.84128316259876,123.10813720029607,143.33881935709215,14.394326605210532,0.43835484517787265,0.5103908433366018,0.051254311485525596
31,pigeonhole,worker+game+listener,266.0609236548107,113.85788775087454,142.30019250297724,9.902843400958924,0.42793915839589636,0.5348406317930343,0.037220209811069216
32,pigeonhole,worker+game+listener,328.5652249573159,112.83860817455859,205.25324323572832,10.473373547028965,0.34342833508694515,0.6246955783661917,0.031876086546863164
33,pigeonhole,worker+game+listener,245.5074246607087,81.34010035269664,157.39855060366963,6.768773704342418,0.3313142177476248,0.6411152364177762,0.02757054583459895
34,pigeonhole,worker+game+listener,231.1796467754125,48.05973060269897,164.69560832846588,18.424307844247625,0.20788910820245463,0.7124139630184017,0.07969692877914361
35,pigeonhole,worker+game+listener,207.43835324486463,84.7701325778634,109.34755165833204,13.32066900866918,0.40865216702621493,0.5271327599156934,0.06421507305809153
36,pigeonhole,worker+game+listener,307.5499596126315,90.85477854166734,205.3016967976406,11.39348427332349,0.29541469833422085,0.6675393391572033,0.037045962508575614
37,pigeonhole,worker+game+listener,247.94373331679344,110.11501456799175,126.58949226917053,11.239226479631117,0.44411291664830943,0.5105573372464685,0.04532974610522199
38,pigeonhole,worker+game+listener,279.1394307535511,88.34009998482315,179.19713278226322,11.602197986464716,0.3164730247759858,0.6419628079720283,0.041564167251985834
39,pigeonhole,worker+game+listener,292.41492075715996,98.26873778174406,177.53390984770823,16.612273127707642,0.33605924597586695,0.6071301334009004,0.05681062062323261
40,pigeonhole,worker+game+listener,272.6792543148713,101.41129568378597,168.25907633160114,3.0088822994841853,0.37190689822953366,0.6170585905200808,0.011034511250385534
41,pigeonhole,worker+game+listener,339.7398773026671,129.38814743335183,195.28091944533932,15.070810423975898,0.3808447464590171,0.5747954022817512,0.04435985125923158
42,pigeonhole,worker+game+listener,349.30635447964187,155.99214543472453,187.57214265929903,5.742066385618273,0.4465768899827329,0.5369846275448477,0.016438482472419292
43,pigeonhole,worker+game+listener,304.8321284363342,96.61074062930552,188.29867166786553,19.922716139163107,0.31693096500319584,0.6177126821695658,0.0653563528272384
44,pigeonhole,worker+game+listener,263.1800360313732,91.08490238678473,159.8785658166946,12.216567827893869,0.3460935098281036,0.6074874379819438,0.04641905218995241
45,pigeonhole,worker+game+listener,229.34806507435542,76.26586478997972,138.2739891377002,14.808211146675529,0.3325332819583809,0.6029001774785905,0.06456654056302875
46,pigeonhole,worker+game+listener,262.6686134638185,92.63967667715033,159.72287914595418,10.30605764071394,0.35268651041138216,0.6080775203389702,0.03923596924964755
47,pigeonhole,worker+game+listener,264.32894743775387,77.94998958097806,171.87031360217125,14.508644254604556,0.29489766571757825,0.6502137403722857,0.054888593910136
48,pigeonhole,worker+game+listener,165.0362469708566,65.5809491796856,89.02605149211671,10.429246299054284,0.39737300370909673,0.5394333252611933,0.06319367102970999
49,pigeonhole,worker+game+listener,351.7681476722282,133.9403061711129,201.80807537907404,16.01976612204127,0.380763031154021,0.5736962732825812,0.045540695563397696
50,pigeonhole,worker+game+listener,314.0447416115021,90.65444208077527,212.76048661816304,10.629812912563768,0.2886672822973801,0.6774846333245229,0.03384808437809692
51,pigeonhole,worker+game+listener,194.9151299801042,45.92158630071556,129.02680856358876,19.966735115799867,0.23559785382182988,0.661964048541327,0.10243809763684304
52,pigeonhole,worker+game+listener,318.60662341397074,92.82665929545016,209.77636429096043,16.003599827560112,0.29135194460423686,0.658418089502159,0.05022996589360409
53,pigeonhole,worker+game+listener,303.87209666563786,102.96820311572954,189.28566182963192,11.618231720276373,0.3388537619794338,0.6229122841703699,0.038233953850196255
54,pigeonhole,worker+game+listener,319.42858013314526,122.53840539596703,186.84927405463696,10.040900682541253,0.3836175377447133,0.5849485164312906,0.031433945823996
55,pigeonhole,worker+game+listener,278.9923342487991,97.965875894744,168.73553559589897,12.290922758156134,0.35114181957193213,0.6048034834011762,0.04405469702689165
56,pigeonhole,worker+game+listener,184.91268010099475,75.73485952792134,109.28082975312374,-0.10300918005032134,0.4095709363282001,0.590986132986863,-0.0005570693150629814
57,pigeonhole,worker+game+listener,401.3969624505771,153.19511469114696,235.6770960766696,12.524751682760552,0.3816548928419194,0.5871422011712106,0.031202905986870016
58,pigeonhole,worker+game+listener,318.31255606870945,110.7671512757337,200.99372265156526,6.551682141410462,0.3479823499385429,0.6314351062173611,0.020582543844095948
59,pigeonhole,worker+game+listener,306.9030479177495,99.23017565493524,204.06297061068335,3.6099016521309295,0.32332743623168275,0.6649102118574349,0.011762351910882256
