boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,pigeonhole,worker+game+listener,304.9962060936805,77.85499331693327,207.7100831990928,19.431129577654396,0.2552654484266597,0.6810251375234944,0.06370941404984581
1,pigeonhole,worker+game+listener,228.1864865041166,90.41573279697491,135.20020555207293,2.5705481550687637,0.39623614080820585,0.5924987391820586,0.0112651200097355
2,pigeonhole,worker+game+listener,295.0735797373063,98.90193344098898,185.4541010431587,10.717545253158656,0.33517719047919475,0.6285012070828638,0.03632160243794145
3,pigeonhole,worker+game+listener,287.26585286550153,88.00375023486374,176.81826827615424,22.443834354483517,0.30634949945153167,0.61552135943892,0.07812914110954833
4,pigeonhole,worker+game+listener,361.3271658338308,129.36665462629117,213.92900655918376,18.03150464835585,0.35803190808461116,0.5920645519843549,0.0499035399310338
5,pigeonhole,worker+game+listener,263.4036677042036,91.83308341994082,150.2871968646235,21.283387419639286,0.34864010900207854,0.5705584822508722,0.08080140874704923
6,pigeonhole,worker+game+listener,233.7286626266482,93.63346218167574,135.00354420209015,5.0916562428822845,0.4006075298143612,0.5776079950354276,0.02178447515021107
7,pigeonhole,worker+game+listener,222.57907193933215,57.091886657934914,148.0695856492654,17.41759963213182,0.2565015936156671,0.6652448694261084,0.07825353695822443
8,pigeonhole,worker+game+listener,211.50454822477423,85.77546151104411,115.36820887935549,10.360877834374604,0.40554901646789715,0.5454644349148896,0.04898654861721314
9,pigeonhole,worker+game+listener,199.69649076666383,87.09162075148181,107.86777681584165,4.737093199340355,0.4361199358943386,0.5401585996915699,0.023721464414091436
10,pigeonhole,worker+game+listener,345.2491763175726,112.15504966803124,221.67678666181237,11.417339987728989,0.32485247572282977,0.642077669891111,0.03306985438605915
11,pigeonhole,worker+game+listener,296.4463244318413,105.31475533611668,180.03286710106937,11.098701994655205,0.3552574164579685,0.6073034214410117,0.037439162101019774
12,pigeonhole,worker+game+listener,396.83535454262665,149.11074380765086,237.03974744251633,10.684863292459417,0.375749645541307,0.59732517460728,0.026925179851412878
13,pigeonhole,worker+game+listener,297.28234435371814,120.47859349859247,163.70273194122106,13.101018913904605,0.4052665615259086,0.5506641583344121,0.04406928013967927
14,pigeonhole,worker+game+listener,270.91317603293146,82.19714191784647,168.0018465317969,20.714187583288094,0.30340769364371856,0.6201316930830085,0.07646061327327297
15,pigeonhole,worker+game+listener,305.5174220406943,98.89590948534199,192.4374163549331,14.184096200419237,0.32369973805346275,0.6298737894210852,0.04642647252545206
16,pigeonhole,worker+game+listener,133.40065625824718,63.410964093394945,80.47294559752474,-10.483253432672504,0.4753422199860783,0.6032425016091305,-0.07858472159520881
17,pigeonhole,worker+game+listener,176.93206318792727,68.75144148118139,94.94514994484159,13.235471761904288,0.3885753675305164,0.5366192437602234,0.0748053887092602
18,pigeonhole,worker+game+listener,313.894717192451,98.8933891560826,205.8364109969378,9.164917039430595,0.3150527350081218,0.6557498413416689,0.02919742365020919
19,pigeonhole,worker+game+listener,253.31649423270574,80.75529381008201,169.94075110254167,2.6204493200820407,0.31879208677148857,0.6708633467287287,0.010344566499782682
20,pigeonhole,worker+game+listener,266.31921928232305,72.07911669781318,180.40201233416752,13.838090250342322,0.27064932411581843,0.6773901366199361,0.05196053926424538
21,pigeonhole,worker+game+listener,342.29169424064,121.21728494844531,212.169447492187,8.904961800007715,0.35413446188742864,0.6198498270981309,0.02601571101444049
22,pigeonhole,worker+game+listener,333.3386208431216,144.95354084806937,184.74067611902402,3.6444038760281874,0.4348537246642312,0.5542132371333237,0.01093303820244503
23,pigeonhole,worker+game+listener,236.95690567579913,83.0883303165912,141.01036676503227,12.858208594175645,0.35064743135307225,0.595088656998081,0.05426391164884661
24,pigeonhole,worker+game+listener,221.1139694353078,58.48698113599759,153.16024254777463,9.46674575153558,0.264510565684134,0.692675559752842,0.04281387456302395
25,pigeonhole,worker+game+listener,225.97962163671582,86.36006010426247,116.39343198326725,23.22612954918607,0.3821586189001354,0.5150616287444759,0.10277975235538861
26,pigeonhole,worker+game+listener,247.8848700642975,82.76026884395544,149.03144212996276,16.093159090379306,0.33386575317198147,0.6012123373697891,0.0649219094582295
27,pigeonhole,worker+game+listener,279.978326206789,91.42634420239504,174.8552419654534,13.696740038940561,0.32654793476716665,0.6245313497456484,0.04892071548718487
28,pigeonhole,worker+game+listener,207.80959633829025,59.87316369783077,143.92040547236488,4.0160271680946,0.28811549010645354,0.6925589963520208,0.019325513541525615
29,pigeonhole,worker+game+listener,299.4061521162066,120.60701844979461,165.70464962335586,13.094484043056127,0.40282077571667324,0.553444371306846,0.04373485297648075
30,pigeonhole,worker+game+listener,272.1438305341235,116.08112731910408,141.74233170574323,14.320371509276129,0.42654329914912015,0.5208361013643132,0.052620599486566465
31,pigeonhole,worker+game+listener,249.3372955034074,107.20371277111067,132.20859751501817,9.924985217278541,0.42995458242485685,0.5302399596822908,0.039805457892852246
32,pigeonhole,worker+game+listener,345.31531642991877,112.7459089843341,222.3863377613856,10.183069684199078,0.326501326816228,0.6440094811332198,0.0294891920505522
33,pigeonhole,worker+game+listener,236.20356132134202,80.98658195322764,148.33024397457075,6.886735393543631,0.34286774297636363,0.6279763232391554,0.02915593378448094
34,pigeonhole,worker+game+listener,233.49749002794988,54.313384621541374,160.78507266059515,18.39903274581335,0.23260800197483925,0.688594436888161,0.07879756113699966
35,pigeonhole,worker+game+listener,211.38232337555155,81.22845646350173,117.02525760812658,13.128609303923211,0.3842727015502972,0.5536189390832559,0.06210835936644674
36,pigeonhole,worker+game+listener,313.4665202031042,93.90950359542754,208.18386557736054,11.373151030316118,0.29958383923929355,0.6641342923718682,0.0362818683888382
37,pigeonhole,worker+game+listener,236.51365278323237,104.22381455984295,121.06130530069086,11.228532922698529,0.4406672229419472,0.5118575772521894,0.04747519980586328
38,pigeonhole,worker+game+listener,278.4159663932014,89.12735425929964,177.75760350005498,11.531008633846795,0.32012299945983275,0.6384605229464873,0.041416477593680015
39,pigeonhole,worker+game+listener,281.063264795092,98.13914256605077,166.29771043307952,16.62641179596168,0.34917100474727175,0.5916735883443116,0.059155406908416495
40,pigeonhole,worker+game+listener,276.68542511979877,100.41020134259239,173.23445588854625,3.0407678886601084,0.3629038331134246,0.6261061847169561,0.010989982169619243
41,pigeonhole,worker+game+listener,349.1761734460365,127.68284139225426,206.62722309654222,14.866108957240005,0.36566882594578587,0.591756364866847,0.042574809187367106
42,pigeonhole,worker+game+listener,362.35290793120794,149.6839438264591,207.08540661516636,5.583557489582442,0.4130888439147737,0.5715019862748864,0.015409169810339898
43,pigeonhole,worker+game+listener,312.7245298171151,98.08263440561616,194.87853309699094,19.76336231450803,0.31363908185576617,0.623163565745732,0.06319735239850187
44,pigeonhole,worker+game+listener,246.15790646884852,88.60017820128314,145.22331465293107,12.334413614634286,0.35993228684895223,0.5899599843700701,0.05010772878097749
45,pigeonhole,worker+game+listener,209.12097311316893,76.21742341610289,117.93937172819065,14.96417796887537,0.3644657074872002,0.563976773694363,0.07155751881843665
46,pigeonhole,worker+game+listener,252.19113776751692,92.19335397512478,149.67863115399965,10.319152638392476,0.36556936453537664,0.5935126526610197,0.04091798280360357
47,pigeonhole,worker+game+listener,263.104085387889,79.18991693995947,169.3943327958928,14.519835652036665,0.3009832280757306,0.6438301121252382,0.055186659799031125
