boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,pigeonhole,worker+game+listener,288.88062283429826,70.43085447640108,198.51743570519994,19.932332652697216,0.24380608773749485,0.6871954018842912,0.06899851037821388
1,pigeonhole,worker+game+listener,213.14787841202588,93.76575620375245,116.72995252527258,2.652169683000845,0.43990940422357094,0.5476477335590811,0.012442862217347826
2,pigeonhole,worker+game+listener,286.3259916702573,97.31562082746859,178.036871392258,10.973499450530653,0.3398770061348135,0.6217977989133844,0.038325194951802026
3,pigeonhole,worker+game+listener,268.6432475923134,85.78811574650877,159.6609912652125,23.194140580592148,0.3193384405354523,0.5943234855004069,0.08633807396414081
4,pigeonhole,worker+game+listener,343.1831787106721,131.7613312787164,192.6187964888736,18.8030509430821,0.3839387809558131,0.5612710891382733,0.05479012990591363
5,pigeonhole,worker+game+listener,259.09666442929347,93.08310730003147,143.82285795835483,22.19069917090716,0.35926015298214503,0.5550934369423485,0.08564641007550647
6,pigeonhole,worker+game+listener,234.6074065188327,97.46612596505587,132.1386258399782,5.00265471379862,0.41544351651673855,0.5632329677936703,0.021323515689591156
7,pigeonhole,worker+game+listener,220.1021670393775,51.588104147664886,150.64334498426715,17.87071790744547,0.23438253626296868,0.6844246333899848,0.08119283034704652
8,pigeonhole,worker+game+listener,194.83056176811715,90.45642760137859,93.61366098775163,10.760473178986937,0.46428253750578286,0.48048755871868015,0.05522990377553704
9,pigeonhole,worker+game+listener,188.72975061035004,91.32679350960925,92.53604045250366,4.86691664823714,0.48390247544046106,0.49030976914473245,0.02578775541480653
10,pigeonhole,worker+game+listener,325.89734774282033,111.98411328871906,202.06003595486638,11.85319849923485,0.3436177497740502,0.6200112929864059,0.03637095723954378
11,pigeonhole,worker+game+listener,287.6868643673306,106.75151055009192,169.5077731018363,11.427580715402351,0.37106842116290417,0.5892092900195878,0.03972228881750798
12,pigeonhole,worker+game+listener,373.4755623629535,152.54248070173972,209.83802591547138,11.09505574574238,0.40844032668861713,0.5618520917080652,0.029707581603317622
13,pigeonhole,worker+game+listener,288.57158190458404,125.85516490720768,149.21871754547334,13.497699451902992,0.43613152783984666,0.5170942909922862,0.04677418116786703
14,pigeonhole,worker+game+listener,272.87787083731064,79.11165594442612,172.4806404593913,21.285574433493213,0.28991598219993575,0.6320799848303712,0.07800403296969302
15,pigeonhole,worker+game+listener,277.2581814856412,98.70545183692403,163.6564326367069,14.89629701201026,0.3560055516054657,0.5902672799763077,0.05372716841822652
16,pigeonhole,worker+game+listener,135.0613399207823,66.50458430982697,79.4698574069508,-10.913101795995468,0.49240281748155307,0.5883982600317926,-0.08080107751334574
17,pigeonhole,worker+game+listener,180.54504631598502,72.38414395665305,94.6576071913568,13.503295167975162,0.40092013286240097,0.524288032947133,0.07479183419046603
18,pigeonhole,worker+game+listener,304.7523805012902,97.01099124308023,198.51342899501185,9.22796026319808,0.3183272632145019,0.6513925458710943,0.030280190914403742
19,pigeonhole,worker+game+listener,245.2207575219345,78.99079553728582,163.76259484982697,2.467367134821719,0.32212116272506114,0.6678170172244849,0.010061820050454
20,pigeonhole,worker+game+listener,258.5302690265821,68.89735321962385,175.5828825563864,14.050033250571838,0.26649627325665226,0.6791579307811456,0.054345795962202056
21,pigeonhole,worker+game+listener,347.45966795961886,120.24592191654081,218.3612434965517,8.852502546526313,0.3460715962306036,0.6284506192584323,0.02547778451096412
22,pigeonhole,worker+game+listener,330.6538891924142,152.80093772118653,174.2546362422745,3.598315228953197,0.4621174669815196,0.5270001108042984,0.010882422214181986
23,pigeonhole,worker+game+listener,233.89354109123724,85.43124529381308,135.30494687151113,13.157348925913007,0.36525696646102784,0.5784894539637216,0.05625357957525037
24,pigeonhole,worker+game+listener,196.47587344924705,53.844420260750816,132.80506238109243,9.826390807403794,0.27405105428712967,0.6759357271181602,0.05001321859471011
25,pigeonhole,worker+game+listener,221.33127768951545,91.02625939053482,106.44473571282407,23.860282586156547,0.41126703980007234,0.48092947740601416,0.1078034827939134
26,pigeonhole,worker+game+listener,233.18497594163546,84.48456494457287,131.93007830413194,16.77033269293065,0.36230706804077617,0.5657743504759634,0.07191858148326051
