boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,pigeonhole,worker+game+listener,306.9627102456352,74.64443088129254,213.1217428364028,19.19653652793984,0.24317100543437728,0.6942919635608515,0.06253703100477105
1,pigeonhole,worker+game+listener,239.87073208717766,98.01830172070761,139.0690096956269,2.783420670843119,0.40862968511341446,0.5797664787427431,0.011603836143842357
2,pigeonhole,worker+game+listener,323.8334907523936,95.71789044432693,217.61068222131848,10.504918086748146,0.2955774902155312,0.6719832519969525,0.032439257787516225
3,pigeonhole,worker+game+listener,300.8715775738442,84.30432043936867,194.53307825359,22.03417888088552,0.2802003470024599,0.6465651552142538,0.07323449778328621
4,pigeonhole,worker+game+listener,388.46453326815254,135.96435377683474,234.71835676124647,17.781822730071326,0.3500045490201293,0.6042208146688726,0.04577463631099816
5,pigeonhole,worker+game+listener,274.98839647439854,95.23883022779061,158.74922037987417,21.00034586673375,0.34633763260137185,0.5772942510127105,0.0763681163859177
6,pigeonhole,worker+game+listener,257.8766103953553,101.54915467394736,151.27805171420383,5.049404007204126,0.3937897063183066,0.5866295957678236,0.01958069791386971
7,pigeonhole,worker+game+listener,231.3681812715181,56.890152084705804,157.37134554481605,17.106683641996216,0.24588580751275974,0.6801771301479681,0.073937062339272
8,pigeonhole,worker+game+listener,213.7271880301073,91.43038206536978,111.80548334874408,10.491322615993413,0.4277901324022949,0.5231224177852107,0.049087449812494244
9,pigeonhole,worker+game+listener,202.48643128971753,90.88674998142938,106.83782149106582,4.761859817222329,0.4488535325677632,0.5276295345350933,0.023516932897143423
10,pigeonhole,worker+game+listener,362.37954038159796,120.64205815447689,230.37899016741676,11.358492059704304,0.33291630655372184,0.6357395064986833,0.03134418694759485
11,pigeonhole,worker+game+listener,302.3660429725819,111.92769828843974,179.3169006737318,11.121444010410338,0.3701728447681183,0.5930457630455281,0.036781392186353457
12,pigeonhole,worker+game+listener,411.0174896354911,154.88928561096873,245.4168405060393,10.71136351848304,0.37684353954945216,0.5970958577059241,0.026060602744623743
13,pigeonhole,worker+game+listener,310.2341449816063,128.66452473901933,168.59134850426068,12.978271738326233,0.4147336030553562,0.5434326015734227,0.041833795371221026
14,pigeonhole,worker+game+listener,310.8117493743798,78.79154227081152,211.95626789671337,20.06393920685491,0.25350245745023403,0.6819441939481098,0.06455334860165611
15,pigeonhole,worker+game+listener,306.5750980173725,104.70492415081472,187.78452442266885,14.08564944388892,0.34153107942537936,0.6125237360668732,0.045945184507747386
16,pigeonhole,worker+game+listener,166.88681651449951,64.89146491375473,112.43154606946715,-10.436194468722382,0.38883517745164015,0.6736993875109292,-0.06253456496256947
17,pigeonhole,worker+game+listener,195.89350857164527,77.99363348591592,105.00774665899544,12.892128426733885,0.3981430219643591,0.5360450554214784,0.06581192261416244
18,pigeonhole,worker+game+listener,357.2281764450072,95.33803343768544,253.04909537291564,8.841047634406095,0.2668827369286814,0.708368242088739,0.0247490209825795
19,pigeonhole,worker+game+listener,259.01334842296546,86.10496456534261,170.05340452077294,2.854979336849889,0.3324344675268794,0.6565430143124436,0.011022518160676972
20,pigeonhole,worker+game+listener,280.4696856192086,78.57373999335307,188.19290595501872,13.703039670836763,0.28015056179737013,0.6709919667059017,0.04885747149672806
21,pigeonhole,worker+game+listener,365.2030189801908,120.5866068194169,235.80971824861606,8.806693912157774,0.3301906078327291,0.6456948765295031,0.02411451563776767
22,pigeonhole,worker+game+listener,346.14943006202884,154.65644427611647,187.67436374521213,3.818622040700196,0.4467909834443539,0.5421773010332026,0.011031715522443333
23,pigeonhole,worker+game+listener,252.69001164874226,93.02021039341805,146.89497114505895,12.774830110265233,0.3681198547836667,0.5813248026172628,0.05055534259907031
