boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,pigeonhole,worker+game+listener,275.90465084829793,79.59209322250892,174.7579540766011,21.55460354918788,0.2884768088460801,0.6333998123601372,0.07812337879378249
1,pigeonhole,worker+game+listener,214.93566608453148,104.72124721711953,107.78654729034928,2.4278715770626604,0.48722135848749265,0.5014828355567483,0.011295805955758917
2,pigeonhole,worker+game+listener,256.2924688298699,103.62565790545348,140.81348357549138,11.853327348925024,0.4043258016069191,0.5494249761547426,0.04624922223833822
3,pigeonhole,worker+game+listener,240.64172386597556,87.89129930209303,127.37938949166451,25.371035072218017,0.3652371579213077,0.5293321018702806,0.10543074020841171
4,pigeonhole,worker+game+listener,322.8606010699659,140.45780701114796,162.11200978519702,20.290784273620904,0.4350416450494988,0.5021114662115936,0.06284688873890737
5,pigeonhole,worker+game+listener,246.38445341599845,99.94381725569171,122.44574598934915,23.994890170957586,0.40564173538557396,0.4969702604677345,0.09738800414669153
6,pigeonhole,worker+game+listener,221.21242228173196,109.25221897184716,106.91881804431809,5.041385265566684,0.4938792218128944,0.4833309854007579,0.022789792786347556
7,pigeonhole,worker+game+listener,212.88474354862728,61.44815326772247,131.9894207637939,19.4471695171109,0.28864517129517286,0.6200041325819329,0.09135069612289415
8,pigeonhole,worker+game+listener,178.79868383175653,96.54082936216993,70.91780187079645,11.340052598790178,0.5399414989710526,0.3966349211917448,0.06342357983720272
9,pigeonhole,worker+game+listener,198.78265166282972,95.47079978142474,98.59562663791566,4.716225243489285,0.4802773229092445,0.49599713965558295,0.023725537435172316
10,pigeonhole,worker+game+listener,300.45209604442925,129.58150642858806,158.27638691476392,12.59420270107724,0.4312884088165131,0.5267940846428938,0.041917506540593
11,pigeonhole,worker+game+listener,280.7565748832267,118.0822003578305,150.66105939693853,12.013315128457634,0.4205856992198444,0.5366252222574023,0.04278907852275323
12,pigeonhole,worker+game+listener,360.0399629294143,164.1206823030981,184.5406035018083,11.378677124507854,0.4558401822057567,0.5125558896304726,0.031603928163770646
13,pigeonhole,worker+game+listener,281.96939178714047,137.01213534450554,130.52621215098398,14.43104429165093,0.4859113766785595,0.46290915238601005,0.05117947093543035
14,pigeonhole,worker+game+listener,240.57750654443453,84.87237086926802,132.30483672811692,23.400298947049578,0.35278597774306947,0.5499468284815742,0.09726719377535636
15,pigeonhole,worker+game+listener,269.00078738748743,111.75365257320225,141.3235937843696,15.923541029915592,0.41543987160239987,0.5253649818533701,0.05919514654423006
16,pigeonhole,worker+game+listener,124.31867469513236,70.24574582851103,66.06453809228249,-11.991609225661174,0.5650458066800922,0.5314128247770744,-0.09645863145716675
17,pigeonhole,worker+game+listener,180.8889235726142,82.85627379526127,83.45248069067898,14.580169086673928,0.458050565832464,0.46134654926606755,0.08060288490146836
18,pigeonhole,worker+game+listener,237.84131614502803,101.46063736732845,125.66341597361564,10.717262804083928,0.42658962291253466,0.5283498174765822,0.0450605596108831
19,pigeonhole,worker+game+listener,225.08673300939336,91.36560073415306,131.33106892625187,2.390063348988406,0.4059128652879785,0.5834687241240964,0.01061841058792507
20,pigeonhole,worker+game+listener,232.12644954419693,88.68483458149088,128.1368680560359,15.304746906670136,0.38205398288576015,0.5520132165362681,0.06593280057797166
21,pigeonhole,worker+game+listener,314.8966615315858,127.36551882369544,178.27922946782897,9.251913240061336,0.40446766950217417,0.5661515387324824,0.02938079176534338
22,pigeonhole,worker+game+listener,321.4462160194553,159.43654625730497,158.94954948602313,3.06012027612716,0.49599758314670966,0.4944825652463205,0.00951985160696976
23,pigeonhole,worker+game+listener,213.59195260374054,100.35569541657809,98.78134020467017,14.45491698249225,0.4698477362710369,0.4624768817387564,0.06767538199020663
