boot,bootstrap_method,bootstrap_cluster_spec,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder
0,pigeonhole,worker+game+listener,281.08422991760017,70.34949936041212,190.49023224818427,20.244498309003724,0.25027906895038216,0.6776980419855873,0.07202288906403037
1,pigeonhole,worker+game+listener,208.3266138336012,95.57204445729917,110.10857797266907,2.6459914036329337,0.4587606100756593,0.5285382215285139,0.012701168395826724
2,pigeonhole,worker+game+listener,279.39181272358474,96.8972193720765,171.34109710943835,11.153496242069876,0.3468148133171727,0.6132645600426166,0.03992062664021063
3,pigeonhole,worker+game+listener,264.7393475699246,85.3200686010016,155.84739856520514,23.571880403717838,0.3222795152445797,0.5886824153483334,0.08903806940708686
4,pigeonhole,worker+game+listener,339.4816408428105,133.18479911224526,187.17442528800652,19.122416442558762,0.39231812000671207,0.5513536014004171,0.05632827859287087
5,pigeonhole,worker+game+listener,257.73726049446077,93.60696351602701,141.49974129797693,22.630555680456833,0.36318754741338144,0.5490077027532385,0.08780474983338005
6,pigeonhole,worker+game+listener,232.15339743480718,98.68269015457516,128.5100229584935,4.960684321738502,0.4250753650171629,0.5535565034949851,0.02136813148785191
7,pigeonhole,worker+game+listener,218.2399882220384,51.67303157309379,148.4212518915142,18.145704757430394,0.2367716017310329,0.680082752481226,0.0831456457877411
8,pigeonhole,worker+game+listener,189.95930986870735,91.50234893531714,87.56129747201847,10.895663461371742,0.48169446919216585,0.4609476499600757,0.05735788084775845
9,pigeonhole,worker+game+listener,183.71812989906584,92.4114135293057,86.3826011995411,4.92411517021901,0.5030065001210073,0.4701909454826229,0.02680255439636961
10,pigeonhole,worker+game+listener,317.3449104910528,113.7721555480422,191.52232257586903,12.050432367141562,0.35851262076960233,0.603514712996378,0.03797266623401956
11,pigeonhole,worker+game+listener,281.5876157557932,108.14292043498418,161.84849474718877,11.596200573620234,0.3840471469056761,0.5747713524715229,0.04118150062280095
12,pigeonhole,worker+game+listener,367.0000311607437,154.01692958337154,201.73605327364237,11.247048303729722,0.41966462263299675,0.5496894717844949,0.03064590558250821
13,pigeonhole,worker+game+listener,286.260284365771,127.24207913789888,145.3229264590203,13.695278768851797,0.44449784370127454,0.5076601065390299,0.04784204975969549
14,pigeonhole,worker+game+listener,267.9829647580068,78.52446332612749,167.80557397219877,21.65292745968054,0.29302035447304053,0.6261800041048508,0.0807996414221087
