disc_variant,split,metric,ll_base,ll_full,delta_ll_full,phi_offsets,phi_geometry,phi_decoder,ratio_offsets,ratio_geometry,ratio_decoder,cluster_spec,shapley_bootstrap_method,status,status_reason
original,test,log_likelihood (nats),-3865.716486797587,-3594.9485380229917,270.7679487745954,97.29453198962179,161.88490900866046,11.58850777631316,0.35932809784150627,0.5978732333028967,0.042798668855596994,worker+game+listener,pigeonhole,OK,
legacy_eq9_signed,test,log_likelihood (nats),-3865.716486797587,-3616.0846905343124,249.63179626327474,104.2094522526654,133.0025850258112,12.419758984798136,0.41745263949773714,0.532795048614479,0.04975231188778376,worker+game+listener,pigeonhole,OK,
tdiff_raw,test,log_likelihood (nats),-3865.716486797587,-3613.5058322060686,252.2106545915185,98.11349776018018,141.92686771701293,12.170289114325367,0.3890140879221984,0.5627314514007281,0.04825446067707338,worker+game+listener,pigeonhole,OK,
tdiff_abs,test,log_likelihood (nats),-3865.716486797587,-3613.5058322060686,252.2106545915185,98.11349776018018,141.92686771701293,12.170289114325367,0.3890140879221984,0.5627314514007281,0.04825446067707338,worker+game+listener,pigeonhole,OK,
d12_only,test,log_likelihood (nats),-3865.716486797587,-3616.0846905343124,249.63179626327474,104.2094522526654,133.0025850258112,12.419758984798136,0.41745263949773714,0.532795048614479,0.04975231188778376,worker+game+listener,pigeonhole,OK,
d12_abs,test,log_likelihood (nats),-3865.716486797587,-3616.0846905343124,249.63179626327474,104.2094522526654,133.0025850258112,12.419758984798136,0.41745263949773714,0.532795048614479,0.04975231188778376,worker+game+listener,pigeonhole,OK,
mean_competitor,test,loglik_test,,,,,,,,,,,,NA,disc_clarity_rank_deficient
inv_mean_competitor,test,log_likelihood (nats),-3865.716486797587,-3588.0802477848747,277.6362390127124,115.11805181921939,150.58561326781847,11.932573925674507,0.4146362601243434,0.5423845741582872,0.04297916571736926,worker+game+listener,pigeonhole,OK,
nearest_competitor_signed,test,log_likelihood (nats),-3865.716486797587,-3619.79345246131,245.92303433627694,106.88382886512241,126.33985981783022,12.699345653324297,0.4346230891042467,0.5137373982018788,0.051639512693874456,worker+game+listener,pigeonhole,OK,
inv_nearest_competitor,test,log_likelihood (nats),-3865.716486797587,-3578.101167144024,287.6153196535629,101.30332112371782,174.8526351134454,11.45936341639966,0.3522180989724026,0.6079392270344226,0.039842673993174774,worker+game+listener,pigeonhole,OK,
neglog_nearest_competitor,test,log_likelihood (nats),-3865.716486797587,-3579.3434177105646,286.3730690870225,97.813190511488,177.21371425102703,11.34616432450745,0.3415586207995163,0.6188211580648866,0.03962022113559708,worker+game+listener,pigeonhole,OK,
farthest_distractor,test,log_likelihood (nats),-3865.716486797587,-3594.9485380229917,270.7679487745954,97.29453198962186,161.88490900866054,11.588507776313008,0.35932809784150654,0.597873233302897,0.04279866885559644,worker+game+listener,pigeonhole,OK,
gap_near_far,test,log_likelihood (nats),-3865.716486797587,-3594.9485380229917,270.7679487745954,97.29453198962179,161.88490900866046,11.58850777631316,0.35932809784150627,0.5978732333028967,0.042798668855596994,worker+game+listener,pigeonhole,OK,
gap_norm,test,log_likelihood (nats),-3865.716486797587,-3603.6873526293357,262.0291341682514,98.80271712084989,151.3264989264165,11.899918120984996,0.3770676777392537,0.5775178374983612,0.04541448476238503,worker+game+listener,pigeonhole,OK,
ratio_near_far,test,log_likelihood (nats),-3865.716486797587,-3607.0544459377497,258.66204085983736,99.56236772071732,147.0588847145355,12.04078842458451,0.3849129442795502,0.5685367834634194,0.04655027225703025,worker+game+listener,pigeonhole,OK,
log_ratio_near_far,test,log_likelihood (nats),-3865.716486797587,-3599.9453891666,265.77109763098724,98.33356714724164,155.65673293150618,11.780797552239392,0.36999345686480156,0.5856796857107068,0.044326857424491536,worker+game+listener,pigeonhole,OK,
softmin_dist,test,log_likelihood (nats),-3865.716486797587,-3594.5327241784134,271.18376261917365,97.32245358308433,162.28508792986963,11.576221106219691,0.3588800916511927,0.5984321714636299,0.0426877368851774,worker+game+listener,pigeonhole,OK,
d12_over_nearest,test,log_likelihood (nats),-3865.716486797587,-3591.154269583267,274.5622172143203,98.70594011902404,164.2241933046189,11.63208379067737,0.3595029976101018,0.5981310719691167,0.04236593042078143,worker+game+listener,pigeonhole,OK,
